Sample_ID	NASH_IDENTIFIER
005	C001
007	C002
009	C003
013	C004
016	C005
022	C006
026	C007
027	C008
028	C009
029	C010
X042	C011
T004	C011
T123	C012
T134	C013
T020	C014
T002	C015
T070	C016
T023	C017
T107	C018
T045	C019
T136	C020
010	H001
012	H002
015	H003
018	H004
019	H005
021	H006
030	H007
P130	H008
T104	H009
X149	H009
T094	H010
P110	H010
P031	H011
P030	H012
T017	H013
T061	H014
T096	H015
T047	H016
T011	H017
T032	H018
T091	H019
T081	H020
003	N001
004	N002
006	N003
011	N004
014	N005
017	N006
020	N007
024	N008
P075	N009
T028	N009
P059	N010
T013	N010
P015	N011
T076	N012
T115	N013
T084	N014
T132	N015
T128	N016
T012	N017
T016	N018
T149	N019
T006	N020
T150	N021
T042	N022
T031	N023
T051	N024
T015	N025
T135	N026
T075	N027
T125	N028
T009	N029
T111	N030
T103	N031
001	S001
002	S002
023	S003
P003	S004
T095	S004
P011	S005
T077	S006
T001	S007
T113	S008
T112	S009
T005	S010
T144	S011
P122	S012
T054	S013
T143	S014
T138	S015
T122	S016
T050	S017
025	U001
008	X001
T022	X002
